Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
1,0,1,0,0,0,0,0,2,75,5662,1
1,0.286,2,0,0,1,0,0,1,15,19,1
0,0.091,2,0,0,0,0,0,0,40,0,1
1,0,2,6,0,1,0,0,103,406,1069,1
0,0.273,0,0,0,1,0,0,0,98,486,1
1,0,2,13,0,1,0,0,417,726,5213,1
1,0,0,0,0,1,0,0,3,30,4684,1
1,0.5,1,69,0,0,0,0,19,195,2038,1
0,0.4,0,0,0,1,0,0,1,0,0,1
1,0.25,1,0,0,0,0,0,1,27,959,1
1,0,0,0,0,1,0,0,3,32,2434,1
1,0,3,0,0,0,0,0,93,544,2002,1
1,0.182,2,38,0,1,0,0,141,88,1118,1
1,0,3,112,0,0,0,0,156,629,2934,1
1,0,0,57,0,1,0,0,6,358,713,1
1,0,0,0,0,0,0,0,2,44,6282,1
1,0.188,3,5,0,1,0,0,24,141,2273,1
1,0.154,2,148,0,1,0,0,15,163,7500,1
1,0,0,0,0,0,0,0,2,35,6109,1
1,0,0,0,0,0,0,0,2,86,6431,1
1,0,3,12,0,1,0,0,9,176,6730,1
1,0.444,2,0,0,1,0,0,3,828,2110,1
1,0,0,0,0,0,0,0,2,67,3314,1
1,0,1,0,0,0,0,0,2,77,6205,1
1,0,2,0,0,0,0,0,1,2,169,1
1,0,1,0,0,1,0,0,1,53,3943,1
1,0,0,0,0,1,0,0,2,25,4849,1
1,0.273,2,0,0,0,0,0,41,260,1810,1
1,0,0,0,0,0,0,0,3,55,3318,1
0,0.143,1,0,0,0,0,0,0,36,225,1
1,0,1,0,0,0,0,0,5,83,6347,1
1,0.214,2,0,0,1,0,0,1,255,3631,1
1,0,0,0,0,0,0,0,6,48,5238,1
0,0.125,1,0,0,0,0,0,0,13,538,1
1,0,5,0,0,0,0,0,15,51,144,1
1,0,0,0,0,1,0,0,3,33,4959,1
1,0,2,0,1,1,0,0,10,469,7499,1
1,0,0,0,0,1,0,0,4,23,4997,1
1,0,2,138,0,0,0,0,62,416,1016,1
1,0,2,0,0,1,0,0,3,88,413,1
1,0.444,1,73,0,0,0,0,4,31,1229,1
1,0,1,0,0,0,0,0,5,105,5765,1
1,0,12,70,0,1,0,0,1065,497,7067,1
1,0.1,0,0,0,0,0,0,2,68,6203,1
1,0.273,1,0,0,1,0,0,79,812,7498,1
1,0.4,0,0,0,0,0,0,0,1978,6641,1
1,0.2,1,1,0,0,0,0,1,880,6082,1
1,0,2,48,0,0,0,1,306,1170,2623,1
1,0,2,90,0,0,0,0,462,719,2525,1
1,0.067,3,147,0,1,0,0,53,742,7435,1
1,0,0,0,0,1,0,0,3,23,5603,1
1,0,1,128,0,0,0,0,4,20,143,1
1,0,2,0,0,1,0,0,153,1437,2731,1
1,0,1,119,0,0,0,0,20,97,6752,1
1,0.111,0,0,0,1,0,0,0,24,4793,1
1,0,0,0,0,0,0,0,3,63,3686,1
1,0,0,0,0,0,0,0,2,69,4303,1
1,0,4,147,0,0,0,1,9500,4733,7502,1
1,0.188,2,1,0,0,0,0,97,719,5817,1
1,0,2,20,0,0,0,0,9,349,1772,1
1,0,1,0,0,0,0,0,2,65,3481,1
1,0,2,49,0,1,0,0,10,142,6924,1
1,0.222,1,0,0,0,0,0,40,173,6459,1
1,0,0,0,0,0,0,0,4,75,4248,1
1,0,4,47,0,1,0,0,58,453,1482,1
1,0.333,1,2,0,0,0,0,0,86,90,1
1,0,0,0,0,0,0,0,3,66,3533,1
1,0,0,0,0,0,0,0,2,39,6306,1
1,0,0,0,0,0,0,0,5,90,6270,1
1,0,1,0,0,0,0,0,2,58,3648,1
1,0,0,0,0,0,0,0,4,47,2260,1
1,0,1,0,0,0,0,0,3,90,6184,1
1,0.333,2,22,0,0,0,0,7,454,1138,1
1,0,0,0,0,0,0,0,3,63,3373,1
0,0.375,0,0,0,0,0,0,0,2,0,1
1,0,1,0,0,0,0,0,3,90,6261,1
1,0,2,1,0,1,0,0,3,248,366,1
1,0,5,123,0,1,0,0,120,998,6088,1
1,0,0,0,0,1,0,0,3,27,6053,1
1,0,0,0,0,0,0,0,5,45,6091,1
1,0,1,0,0,0,0,0,4,76,5043,1
1,0.067,1,0,0,0,0,0,2,75,6208,1
1,0,1,0,0,0,0,0,3,93,6180,1
0,0.214,0,0,0,0,0,0,0,0,0,1
1,0.286,2,0,0,0,0,0,1,38,14,1
0,0.267,1,0,0,0,0,0,0,0,0,1
1,0.25,1,0,0,0,0,1,17,175,2748,1
1,0,0,0,0,1,0,0,4,36,6170,1
1,0,2,39,0,1,0,0,12,407,7495,1
1,0,0,0,0,1,0,0,2,22,3031,1
1,0,1,0,0,0,0,0,4,61,4488,1
1,0,0,0,0,0,0,0,5,86,5249,1
1,0,0,0,0,0,0,0,3,7,720,1
1,0.167,2,0,0,0,0,0,17,486,1957,1
1,0,1,0,0,0,0,0,0,82,6181,1
1,0,4,0,0,0,0,0,45,62,158,1
1,0,1,60,0,1,0,0,14,23,135,1
1,0.25,1,0,0,1,0,0,27,103,1014,1
1,0,0,0,0,1,0,0,2,27,4235,1
1,0,0,0,0,0,0,0,5,61,2930,1
1,0,1,122,1,0,0,0,388,1679,6001,1
1,0.3,1,106,0,1,0,0,121,675,7502,1
1,0,2,0,0,1,0,0,31,442,561,1
1,0,0,0,0,1,0,0,3,33,6312,1
1,0,1,17,0,1,0,0,79,260,124,1
1,0,0,0,0,1,0,0,2,21,4918,1
1,0.455,1,0,0,1,0,0,1,1,795,1
1,0.154,2,21,0,1,0,0,21,1035,4282,1
